model,seed,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,train_seconds,predict_seconds,feature_count,test_rows
equal_rf_all,303,0.9949824142492982,0.9424893453733478,0.8139334253690589,0.9424893453733478,0.8596848725356262,10.24167789999774,0.11316570000053616,78,61982
extra_trees_chi2,303,0.9874802361976057,0.9633222366163317,0.729047749845462,0.9633222366163317,0.7793288500290378,7.039309800002229,0.1050383999972837,60,61982
xgboost_chi2,303,0.9976283437126908,0.8268573764559692,0.8793088617416487,0.8268573764559692,0.835195853315766,6.746931000001496,0.07445590000133961,60,61982
decision_tree_chi2,404,0.9852699170726985,0.9654522645715276,0.7616408645972614,0.9654522645715276,0.8098807582561316,6.077397900000506,0.020719600001029903,60,61982
equal_rf_chi2,404,0.995046949114259,0.9305559450878146,0.8130536734263023,0.9305559450878146,0.8557039164375112,10.178349400001025,0.09158620000016526,60,61982
equal_rf_all,404,0.9942725307347294,0.9334696983468982,0.7989805200412052,0.9334696983468982,0.8452696353890504,10.183131100002356,0.10370269999839365,78,61982
extra_trees_chi2,404,0.9879642476848117,0.9636411247834085,0.732976950443682,0.9636411247834085,0.7836312455893134,6.913089500001661,0.10330409999733092,60,61982
xgboost_chi2,404,0.9976122099964506,0.820167999773434,0.8865117839545797,0.820167999773434,0.8277307048655533,6.865986500000872,0.07874079999965033,60,61982
decision_tree_chi2,505,0.9853021845051789,0.9654655987938238,0.7616542781759319,0.9654655987938238,0.8098941318160083,6.011246099998971,0.013766499996563653,60,61982
equal_rf_chi2,505,0.99512761769546,0.9326816926078936,0.8152289472866998,0.9326816926078936,0.857911415516482,10.15121740000177,0.09140520000073593,60,61982
equal_rf_all,505,0.994724274789455,0.9387572303395626,0.8072695270208736,0.9387572303395626,0.8535202008105303,9.996123699998861,0.09546300000147312,78,61982
extra_trees_chi2,505,0.9887386660643412,0.9639611376729492,0.7382833558997323,0.9639611376729492,0.7892627947763013,6.918771499997092,0.10332729999936419,60,61982
xgboost_chi2,505,0.9976283437126908,0.8173813976862458,0.907517930654044,0.8173813976862458,0.8239427933140453,6.654710899998463,0.07463040000220644,60,61982
