cv,seed,risk_C,descriptor_set,val_macro_f1,equal_weight_val_macro_f1,disagreement_vs_equal_weight,mean_weight_entropy,min_weight_entropy,expert_table_seconds,disagreement_vs_default_gate
3,2024,10.0,all,0.8957955988466703,0.8957955988466703,0,0.9999817417291188,0.9944194549233492,34.747405800000706,0
3,2024,10.0,entropy,0.8957955988466703,0.8957955988466703,0,0.9999885534605754,0.9970061032030321,34.747405800000706,0
3,2024,10.0,margin,0.8957955988466703,0.8957955988466703,0,0.9999900416174967,0.9955884393211322,34.747405800000706,0
3,3407,0.01,all,0.8956012361308199,0.8951809283091464,1,0.9999966606249925,0.9993120253428932,34.60564350000004,2
3,3407,0.01,entropy,0.8956012361308199,0.8951809283091464,1,0.9999981071232352,0.99974643661065,34.60564350000004,2
3,3407,0.01,margin,0.8951809283091464,0.8951809283091464,0,0.9999990763126771,0.9996599042322153,34.60564350000004,3
3,3407,0.1,all,0.8950280906261252,0.8951809283091464,3,0.9999916282089067,0.9978569919162872,34.60564350000004,0
3,3407,0.1,entropy,0.8960237649806224,0.8951809283091464,2,0.999993839809602,0.9989529263751021,34.60564350000004,1
3,3407,0.1,margin,0.8960237649806224,0.8951809283091464,2,0.9999978837076965,0.9984775401264441,34.60564350000004,1
3,3407,1.0,all,0.8950280906261252,0.8951809283091464,3,0.9999822839269423,0.9946262574771337,34.60564350000004,0
3,3407,1.0,entropy,0.8960237649806224,0.8951809283091464,2,0.9999885957911557,0.9969479707099935,34.60564350000004,1
3,3407,1.0,margin,0.8960237649806224,0.8951809283091464,2,0.9999953318704035,0.9939595304519662,34.60564350000004,1
3,3407,10.0,all,0.8950280906261252,0.8951809283091464,3,0.9999790440499557,0.9948730531332081,34.60564350000004,0
3,3407,10.0,entropy,0.8960237649806224,0.8951809283091464,2,0.9999813409503576,0.9886341691329208,34.60564350000004,1
3,3407,10.0,margin,0.8960237649806224,0.8951809283091464,2,0.9999945007778227,0.9920965844811173,34.60564350000004,1
5,42,0.01,all,0.8961983950209749,0.8961983950209749,0,0.9999950298134715,0.9973963211953076,62.60571770000024,0
5,42,0.01,entropy,0.8961983950209749,0.8961983950209749,0,0.9999978889010448,0.9996581504855478,62.60571770000024,0
5,42,0.01,margin,0.8961983950209749,0.8961983950209749,0,0.9999987271657423,0.9995233775757842,62.60571770000024,0
5,42,0.1,all,0.8961983950209749,0.8961983950209749,0,0.9999900837425643,0.9963885092764959,62.60571770000024,0
5,42,0.1,entropy,0.8961983950209749,0.8961983950209749,0,0.9999943146288174,0.9989228012024165,62.60571770000024,0
5,42,0.1,margin,0.8961983950209749,0.8961983950209749,0,0.9999959932840241,0.9987793323966371,62.60571770000024,0
5,42,1.0,all,0.8961983950209749,0.8961983950209749,0,0.9999733757817806,0.983665565844849,62.60571770000024,0
5,42,1.0,entropy,0.8961983950209749,0.8961983950209749,0,0.9999839386875209,0.9962218776966,62.60571770000024,0
