model,label,precision,recall,f1-score,support
random_forest_all_seed42,Bot,0.971153846153846,1.0,0.9853658536585366,101.0
random_forest_all_seed42,Brute Force,0.9479166666666666,0.900990099009901,0.9238578680203046,101.0
random_forest_all_seed42,DoS/DDoS,0.98989898989899,0.9702970297029704,0.98,101.0
random_forest_all_seed42,Normal,0.9702970297029704,0.9702970297029704,0.9702970297029704,101.0
random_forest_all_seed42,Web Attack,0.9047619047619048,0.9405940594059404,0.9223300970873788,101.0
random_forest_chi2_seed2024,Bot,0.971153846153846,1.0,0.9853658536585366,101.0
random_forest_chi2_seed2024,Brute Force,0.9375,0.8910891089108911,0.9137055837563453,101.0
random_forest_chi2_seed2024,DoS/DDoS,0.98989898989899,0.9702970297029704,0.98,101.0
random_forest_chi2_seed2024,Normal,0.9702970297029704,0.9702970297029704,0.9702970297029704,101.0
random_forest_chi2_seed2024,Web Attack,0.8952380952380953,0.9306930693069309,0.912621359223301,101.0
random_forest_chi2_seed3407,Bot,0.971153846153846,1.0,0.9853658536585366,101.0
random_forest_chi2_seed3407,Brute Force,0.9375,0.8910891089108911,0.9137055837563453,101.0
random_forest_chi2_seed3407,DoS/DDoS,0.98989898989899,0.9702970297029704,0.98,101.0
random_forest_chi2_seed3407,Normal,0.9702970297029704,0.9702970297029704,0.9702970297029704,101.0
random_forest_chi2_seed3407,Web Attack,0.8952380952380953,0.9306930693069309,0.912621359223301,101.0
random_forest_chi2_seed42,Bot,0.971153846153846,1.0,0.9853658536585366,101.0
random_forest_chi2_seed42,Brute Force,0.9473684210526316,0.8910891089108911,0.9183673469387756,101.0
random_forest_chi2_seed42,DoS/DDoS,0.98989898989899,0.9702970297029704,0.98,101.0
random_forest_chi2_seed42,Normal,0.98,0.9702970297029704,0.9751243781094528,101.0
random_forest_chi2_seed42,Web Attack,0.8878504672897196,0.9405940594059404,0.9134615384615384,101.0
svm_all_seed2024,Bot,0.9439252336448598,1.0,0.971153846153846,101.0
svm_all_seed2024,Brute Force,0.9191919191919192,0.900990099009901,0.91,101.0
svm_all_seed2024,DoS/DDoS,0.9230769230769232,0.9504950495049505,0.9365853658536586,101.0
svm_all_seed2024,Normal,0.978021978021978,0.8811881188118812,0.9270833333333334,101.0
svm_all_seed2024,Web Attack,0.903846153846154,0.9306930693069309,0.9170731707317074,101.0
svm_all_seed3407,Bot,0.9439252336448598,1.0,0.971153846153846,101.0
svm_all_seed3407,Brute Force,0.9191919191919192,0.900990099009901,0.91,101.0
svm_all_seed3407,DoS/DDoS,0.9230769230769232,0.9504950495049505,0.9365853658536586,101.0
svm_all_seed3407,Normal,0.978021978021978,0.8811881188118812,0.9270833333333334,101.0
svm_all_seed3407,Web Attack,0.903846153846154,0.9306930693069309,0.9170731707317074,101.0
svm_all_seed42,Bot,0.9439252336448598,1.0,0.971153846153846,101.0
svm_all_seed42,Brute Force,0.9191919191919192,0.900990099009901,0.91,101.0
svm_all_seed42,DoS/DDoS,0.9230769230769232,0.9504950495049505,0.9365853658536586,101.0
svm_all_seed42,Normal,0.978021978021978,0.8811881188118812,0.9270833333333334,101.0
svm_all_seed42,Web Attack,0.903846153846154,0.9306930693069309,0.9170731707317074,101.0
svm_chi2_seed2024,Bot,0.9439252336448598,1.0,0.971153846153846,101.0
svm_chi2_seed2024,Brute Force,0.9191919191919192,0.900990099009901,0.91,101.0
svm_chi2_seed2024,DoS/DDoS,0.9230769230769232,0.9504950495049505,0.9365853658536586,101.0
svm_chi2_seed2024,Normal,0.978021978021978,0.8811881188118812,0.9270833333333334,101.0
svm_chi2_seed2024,Web Attack,0.903846153846154,0.9306930693069309,0.9170731707317074,101.0
svm_chi2_seed3407,Bot,0.9439252336448598,1.0,0.971153846153846,101.0
svm_chi2_seed3407,Brute Force,0.9191919191919192,0.900990099009901,0.91,101.0
svm_chi2_seed3407,DoS/DDoS,0.9230769230769232,0.9504950495049505,0.9365853658536586,101.0
svm_chi2_seed3407,Normal,0.978021978021978,0.8811881188118812,0.9270833333333334,101.0
svm_chi2_seed3407,Web Attack,0.903846153846154,0.9306930693069309,0.9170731707317074,101.0
svm_chi2_seed42,Bot,0.9439252336448598,1.0,0.971153846153846,101.0
svm_chi2_seed42,Brute Force,0.9191919191919192,0.900990099009901,0.91,101.0
svm_chi2_seed42,DoS/DDoS,0.9230769230769232,0.9504950495049505,0.9365853658536586,101.0
svm_chi2_seed42,Normal,0.978021978021978,0.8811881188118812,0.9270833333333334,101.0
svm_chi2_seed42,Web Attack,0.903846153846154,0.9306930693069309,0.9170731707317074,101.0
weighted_rf_chi2_seed2024,Bot,0.971153846153846,1.0,0.9853658536585366,101.0
weighted_rf_chi2_seed2024,Brute Force,0.9375,0.8910891089108911,0.9137055837563453,101.0
weighted_rf_chi2_seed2024,DoS/DDoS,0.98989898989899,0.9702970297029704,0.98,101.0
weighted_rf_chi2_seed2024,Normal,0.9702970297029704,0.9702970297029704,0.9702970297029704,101.0
weighted_rf_chi2_seed2024,Web Attack,0.8952380952380953,0.9306930693069309,0.912621359223301,101.0
weighted_rf_chi2_seed3407,Bot,0.971153846153846,1.0,0.9853658536585366,101.0
weighted_rf_chi2_seed3407,Brute Force,0.9375,0.8910891089108911,0.9137055837563453,101.0
weighted_rf_chi2_seed3407,DoS/DDoS,0.98989898989899,0.9702970297029704,0.98,101.0
weighted_rf_chi2_seed3407,Normal,0.9702970297029704,0.9702970297029704,0.9702970297029704,101.0
weighted_rf_chi2_seed3407,Web Attack,0.8952380952380953,0.9306930693069309,0.912621359223301,101.0
weighted_rf_chi2_seed42,Bot,0.971153846153846,1.0,0.9853658536585366,101.0
weighted_rf_chi2_seed42,Brute Force,0.9473684210526316,0.8910891089108911,0.9183673469387756,101.0
weighted_rf_chi2_seed42,DoS/DDoS,0.98989898989899,0.9702970297029704,0.98,101.0
weighted_rf_chi2_seed42,Normal,0.98,0.9702970297029704,0.9751243781094528,101.0
weighted_rf_chi2_seed42,Web Attack,0.8878504672897196,0.9405940594059404,0.9134615384615384,101.0
