method,seed,class,bin,prob_true,prob_pred
all,2024,Web Attack,4,0.8333333333333334,0.4657177183121331
all,2024,Web Attack,5,0.6666666666666666,0.5763619870606946
all,2024,Web Attack,6,0.6,0.6437394164317566
all,2024,Web Attack,7,1.0,0.7614020183498784
all,2024,Web Attack,8,0.8095238095238095,0.859519322801342
all,2024,Web Attack,9,0.9545454545454546,0.947575397305501
chi2,2024,Bot,0,0.0,0.0014325512844956274
chi2,2024,Bot,1,0.0,0.15459238642991205
chi2,2024,Bot,2,0.0,0.31581595980251265
chi2,2024,Bot,3,0.0,0.473379276392931
chi2,2024,Bot,4,1.0,0.5860058929334333
chi2,2024,Bot,5,1.0,0.7240639111133788
chi2,2024,Bot,6,1.0,0.8359701694550563
chi2,2024,Bot,7,1.0,0.9849039395813582
chi2,2024,Brute Force,0,0.016042780748663103,0.011896768102256004
chi2,2024,Brute Force,1,0.05555555555555555,0.13573069694705373
chi2,2024,Brute Force,2,0.2222222222222222,0.24827323724814634
chi2,2024,Brute Force,3,0.14285714285714285,0.35705352143422747
chi2,2024,Brute Force,4,0.0,0.44631936776481407
chi2,2024,Brute Force,5,0.6666666666666666,0.5655135656516581
chi2,2024,Brute Force,6,0.5,0.6669280923734361
chi2,2024,Brute Force,7,0.6666666666666666,0.8354530850655951
chi2,2024,Brute Force,8,1.0,0.9972334283680439
chi2,2024,DoS/DDoS,0,0.0025380710659898475,0.003006248583502805
chi2,2024,DoS/DDoS,1,0.0,0.1290687002587708
chi2,2024,DoS/DDoS,2,0.25,0.24609864291955907
chi2,2024,DoS/DDoS,3,0.5,0.4768897068245127
chi2,2024,DoS/DDoS,4,0.0,0.5735571840319207
chi2,2024,DoS/DDoS,5,1.0,0.681160541760037
chi2,2024,DoS/DDoS,6,1.0,0.7444450829387941
chi2,2024,DoS/DDoS,7,1.0,0.8781951227513739
chi2,2024,DoS/DDoS,8,1.0,0.9907395984745024
chi2,2024,Normal,0,0.0,0.008860773150513366
chi2,2024,Normal,1,0.0,0.13970909020409858
chi2,2024,Normal,2,0.0,0.25171849148542297
chi2,2024,Normal,3,0.6,0.35038277151380226
