accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,log_loss,brier_macro,ece,mce,model,seed,train_seconds,predict_seconds,test_samples,feature_count
0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,0.13328601726189712,0.013782651623142789,0.026083424855587657,0.200309543059132,equal_rf_all,2024,0.26543130000209203,0.02711470000213012,505,78
0.9524752475247524,0.9524752475247524,0.9545660377358491,0.9524752475247524,0.9523047805355249,0.14851083464318263,0.014916132577233177,0.0356374358128694,0.3450535038453219,extra_trees_chi2,2024,0.15960950000589946,0.028296500000578817,505,60
0.9287128712871288,0.9287128712871286,0.9305182703387207,0.9287128712871286,0.9282443899347234,0.25482077680893533,0.024378364548789316,0.041138098862801,0.19954349854286124,svm_chi2,2024,0.15119119999872055,0.013248899995232932,505,60
0.9346534653465347,0.9346534653465346,0.9368595534514246,0.9346534653465346,0.9346943656916464,1.5240176960254497,0.019801980198019802,0.0475247524752475,0.5,decision_tree_chi2,2024,0.024181699998734985,0.0003036999987671152,505,60
0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,0.13506148881891455,0.01397796827675439,0.02521381197887161,0.257921710159784,scalar_weighted_rf_chi2,2024,0.34038950000103796,0.014382900000782683,505,60
0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,0.1349241234431323,0.013958252450737712,0.025165428217125356,0.2574270796754217,reliability_only_rf_chi2,2024,0.46203370000148425,0.013770400000794325,505,60
0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,0.13518874947617768,0.013994144279031418,0.02525827108822858,0.2583154513507661,cost_only_rf_chi2,2024,0.47086359999957494,0.01275819999864325,505,60
0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,0.1349241234431323,0.013958252450737712,0.025165428217125356,0.2574270796754217,drc_forest_chi2,2024,0.4582497000010335,0.0132004000042798,505,60
0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967,0.1328034159417584,0.013660841710868371,0.02722905527290373,0.6164741692787221,equal_rf_chi2,3407,0.21636060000309953,0.02836139999999432,505,60
0.9564356435643564,0.9564356435643564,0.9572678527075531,0.9564356435643564,0.9565254052877815,0.13462805088064314,0.013880526686006867,0.02593229401471936,0.38040722667188853,equal_rf_all,3407,0.2258023999966099,0.028222000000823755,505,78
0.9485148514851485,0.9485148514851485,0.9505900112792869,0.9485148514851485,0.9483173932519116,0.1502829915056562,0.01510433063537479,0.036188144725223505,0.3788377036384148,extra_trees_chi2,3407,0.11599489999935031,0.02786529999866616,505,60
0.9267326732673268,0.9267326732673267,0.9283115326019346,0.9267326732673267,0.926071789096857,0.25609490197853896,0.024521937962026907,0.04690686512427117,0.5067308725603685,svm_chi2,3407,0.14835329999914393,0.012617100001079962,505,60
0.9346534653465347,0.9346534653465346,0.9368203617771551,0.9346534653465346,0.9346948127325254,1.5948215996228068,0.020484048404840482,0.04785478547854782,0.38095238095238093,decision_tree_chi2,3407,0.02465189999929862,0.0003302999975858256,505,60
0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967,0.1326847141624675,0.013647422629899725,0.02720504852659367,0.6157496761051522,scalar_weighted_rf_chi2,3407,0.36027679999824613,0.013780200002656784,505,60
0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967,0.13253046785178133,0.01362836455454312,0.027140526185744616,0.6149147483287752,reliability_only_rf_chi2,3407,0.48933730000135256,0.013837299993610941,505,60
0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967,0.1328034159417584,0.013660841710868371,0.027229055272903712,0.6164741692787221,cost_only_rf_chi2,3407,0.5319601000010152,0.013974300003610551,505,60
0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967,0.13253046785178133,0.01362836455454312,0.027140526185744616,0.6149147483287752,drc_forest_chi2,3407,0.510724300002039,0.014075200000661425,505,60
