model,seed,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,train_seconds,predict_seconds,feature_count,test_rows
extra_trees_chi2,101,0.9910242408609704,0.9634061379173776,0.653530342284741,0.9634061379173776,0.6880605363443943,68.76443350000045,0.6563389000002644,60,364426
xgboost_chi2,101,0.9993496622085142,0.7696864481360699,0.9464721468510909,0.7696864481360699,0.7969167767354187,36.63771070000075,0.4178295000019716,60,364426
decision_tree_chi2,202,0.9671867539637676,0.9530772772710264,0.5852135057927201,0.9530772772710264,0.5956519475968274,60.580047899999045,0.10529150000002119,60,364426
equal_rf_chi2,202,0.9959360748135424,0.9240428973054137,0.7226844856245348,0.9240428973054137,0.7650158468603838,78.14974409999922,0.5431667999982892,60,364426
equal_rf_all,202,0.9948741308249137,0.9349030194779651,0.6842537215561414,0.9349030194779651,0.727841513929073,98.05478120000043,0.5728534000008949,78,364426
extra_trees_chi2,202,0.9915840252890847,0.9697310748046567,0.6701913968221778,0.9697310748046567,0.7089517403178209,52.49041990000114,0.6023585999973875,60,364426
xgboost_chi2,202,0.9992947813822285,0.7669194359521991,0.8913914222269523,0.7669194359521991,0.7945364575953716,34.92446259999997,0.4416133999984595,60,364426
decision_tree_chi2,303,0.9671785218398248,0.9530718582595699,0.5848946529072665,0.9530718582595699,0.5954861370058423,59.76844170000186,0.10892469999816967,60,364426
equal_rf_chi2,303,0.9954640997074852,0.9258532431177999,0.7149189391865132,0.9258532431177999,0.7570566795887272,76.08184289999917,0.5362346000001708,60,364426
equal_rf_all,303,0.9953817784680566,0.9304297696531384,0.7046317762220717,0.9304297696531384,0.7488278923926057,92.8876995999999,0.5917066999973031,78,364426
extra_trees_chi2,303,0.991337061570799,0.9613866979486868,0.6709344852470054,0.9613866979486868,0.7084783163923334,52.822025100002065,0.618288699999539,60,364426
xgboost_chi2,303,0.9993057575474856,0.7707146857720266,0.8801632541123692,0.7707146857720266,0.7962163942698732,33.585449599999265,0.4718702000027406,60,364426
decision_tree_chi2,404,0.9671867539637676,0.9530772772710264,0.5852135057927201,0.9530772772710264,0.5956519475968274,59.77655969999978,0.09465999999883934,60,364426
equal_rf_chi2,404,0.9956479504755423,0.9223921332284599,0.7174270868313664,0.9223921332284599,0.7593096325494381,73.42016619999777,0.5287853000008909,60,364426
equal_rf_all,404,0.9951704872868566,0.9271079405704545,0.6882289158162039,0.9271079405704545,0.7322384715143899,90.8519954000003,0.5667362000021967,78,364426
extra_trees_chi2,404,0.9920779527256562,0.9666957362527308,0.6722457577785909,0.9666957362527308,0.7102667886227051,50.25752950000242,0.5773383000014292,60,364426
xgboost_chi2,404,0.9992865492582856,0.7999086338374294,0.8764688046559647,0.7999086338374294,0.8258788957177188,33.42425809999986,0.42122289999679197,60,364426
decision_tree_chi2,505,0.9671867539637676,0.9530737678712822,0.585216882622554,0.9530737678712822,0.5956519109126476,58.81829540000035,0.09384919999865815,60,364426
equal_rf_chi2,505,0.9956067898558281,0.9182423275983188,0.7178949703182586,0.9182423275983188,0.7585580378161938,73.23067129999981,0.5246649000000616,60,364426
equal_rf_all,505,0.9944872209995994,0.9288780212098512,0.6883272891439707,0.9288780212098512,0.730282785996097,87.80802670000048,0.5675344000010227,78,364426
extra_trees_chi2,505,0.991164186967999,0.9664701771917368,0.6555259588809832,0.9664701771917368,0.6899842468823862,49.42182899999898,0.5820346000000427,60,364426
xgboost_chi2,505,0.9992755730930285,0.7771164487031894,0.8624055119014244,0.7771164487031894,0.8039636875910204,33.07675139999992,0.4132477999992261,60,364426
