method,condition,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,rep,relative_macro_f1_drop
chi2,feature_mask_5pct,0.9544554455445544,0.9544554455445544,0.9549618184772708,0.9544554455445544,0.9544972872785934,3.0,0.002133760692148718
chi2,gaussian_noise_1pct,0.6792079207920793,0.6792079207920791,0.821151824633008,0.6792079207920791,0.6813083198703819,4.0,0.2877354603106626
chi2,feature_mask_5pct,0.9544554455445544,0.9544554455445544,0.9549618184772708,0.9544554455445544,0.9544972872785934,4.0,0.002133760692148718
chi2,gaussian_noise_1pct,0.6831683168316832,0.6831683168316831,0.8090947940947941,0.6831683168316831,0.6752780058364227,5.0,0.2940397703041135
chi2,feature_mask_5pct,0.9504950495049505,0.9504950495049505,0.9510981825945398,0.9504950495049505,0.9506280659527608,5.0,0.006178785633462521
chi2,gaussian_noise_1pct,0.6811881188118812,0.6811881188118811,0.8036164219584471,0.6811881188118811,0.6738798669395651,6.0,0.295501435645264
chi2,feature_mask_5pct,0.9584158415841584,0.9584158415841584,0.9593094618407919,0.9584158415841584,0.9585064335722808,6.0,-0.00205754690844503
chi2,gaussian_noise_1pct,0.7049504950495049,0.7049504950495049,0.8363720723720725,0.7049504950495049,0.7076405540029155,7.0,0.26020678338658054
chi2,feature_mask_5pct,0.9524752475247524,0.9524752475247524,0.9531061684266074,0.9524752475247524,0.9526046829212447,7.0,0.004112358240550133
chi2,gaussian_noise_1pct,0.6594059405940594,0.6594059405940593,0.8070662827090175,0.6594059405940593,0.6518467395574442,8.0,0.3185356697431663
chi2,feature_mask_5pct,0.9603960396039604,0.9603960396039604,0.9616382766131386,0.9603960396039604,0.9605030012596144,8.0,-0.004144831509707216
chi2,gaussian_noise_1pct,0.6514851485148515,0.6514851485148514,0.7951226837600393,0.6514851485148514,0.6436677465763061,9.0,0.3270862869907892
chi2,feature_mask_5pct,0.9564356435643564,0.9564356435643564,0.9570250830576953,0.9564356435643564,0.9564944801917502,9.0,4.5822457032088304e-05
mutual_info,clean,0.9584158415841584,0.9584158415841584,0.9593963291065947,0.9584158415841584,0.9585207729615967,,0.0
mutual_info,gaussian_noise_1pct,0.6594059405940594,0.6594059405940594,0.8211838818290431,0.6594059405940594,0.650618572817212,0.0,0.3212264239125893
mutual_info,feature_mask_5pct,0.9544554455445544,0.9544554455445544,0.9551779573371153,0.9544554455445544,0.9545702954910876,0.0,0.004121431253182976
mutual_info,gaussian_noise_1pct,0.6673267326732674,0.6673267326732673,0.8173704291351349,0.6673267326732673,0.6608576859442679,1.0,0.31054422127714776
mutual_info,feature_mask_5pct,0.9485148514851485,0.9485148514851485,0.9493239831326257,0.9485148514851485,0.9487012108851844,1.0,0.010244495845480896
mutual_info,gaussian_noise_1pct,0.6871287128712872,0.6871287128712871,0.8271373363478627,0.6871287128712871,0.6894902321342383,2.0,0.2806726243356409
mutual_info,feature_mask_5pct,0.9603960396039604,0.9603960396039604,0.9614431176117195,0.9603960396039604,0.9604606270416569,2.0,-0.002023799728478055
mutual_info,gaussian_noise_1pct,0.6772277227722773,0.6772277227722772,0.8320402912425399,0.6772277227722772,0.6790320308271959,3.0,0.29158339601848
mutual_info,feature_mask_5pct,0.9564356435643564,0.9564356435643564,0.9571550964836073,0.9564356435643564,0.956490606771211,3.0,0.0021180200238258068
mutual_info,gaussian_noise_1pct,0.6811881188118812,0.6811881188118811,0.8191372035829516,0.6811881188118811,0.6815189681109552,4.0,0.2889888384941028
mutual_info,feature_mask_5pct,0.9603960396039604,0.9603960396039604,0.9616300017435577,0.9603960396039604,0.9604763855695915,4.0,-0.002040240194223906
mutual_info,gaussian_noise_1pct,0.6772277227722773,0.6772277227722772,0.8128600849397785,0.6772277227722772,0.666887945356757,5.0,0.30425300716620357
mutual_info,feature_mask_5pct,0.9584158415841584,0.9584158415841584,0.9593273888792387,0.9584158415841584,0.958484005734206,5.0,3.835830002625102e-05
mutual_info,gaussian_noise_1pct,0.6574257425742575,0.6574257425742575,0.7937627582291384,0.6574257425742575,0.6442740158804692,6.0,0.3278455365241394
mutual_info,feature_mask_5pct,0.9544554455445544,0.9544554455445544,0.9554799229922992,0.9544554455445544,0.9546224429015171,6.0,0.004067027204882231
